DL_KZS5_CY_FQ7205-1,叶柜空调加热蒸汽累积流量
DL_KZS5_CY_FT7205-1,叶柜空调加热蒸汽瞬时流量
DL_KZS5_CY_FQ7205-2,叶柜空调加湿蒸汽累积流量
DL_KZS5_CY_FT7205-2,叶柜空调加湿蒸汽瞬时流量
DL_KZS5_CY_SFJ_POWER,叶柜空调送风机实时功率
DL_KZS5_CY_FQ7205-3,叶柜空调冷冻水累积流量
DL_KZS5_CY_FT7205-3,叶柜空调冷冻水瞬时流量
DL_KZS5_CY_J7205-1.current,送风机电流
DL_KZS5_CY_DATA.H_SP,湿度指标设置
DL_KZS5_CY_DATA.T_SP,温度指标设置
DL_KZS5_CY_PID7205/SFJ_TJ.FB_IN,送风机频率
DL_KZS5_CY_J7205-1_Man,送风机启停
DL_KZS5_CY_J7205-1_Fault,送风机故障
DL_KZS5_CY_J7205-1_FB,送风机运行状态
DL_KZS5_CY_J7205-1_Remote,送风机远程/就地
DL_KZS5_CY_CSBJS7205/2.ERR_6,超声波加湿系统6档故障状态
DL_KZS5_CY_CSBJS7205/2.ERR_5,超声波加湿系统5档故障状态
DL_KZS5_CY_CSBJS7205/2.ERR_4,超声波加湿系统4档故障状态
DL_KZS5_CY_CSBJS7205/2.ERR_3,超声波加湿系统3档故障状态
DL_KZS5_CY_CSBJS7205/2.ERR_2,超声波加湿系统2档故障状态
DL_KZS5_CY_CSBJS7205/2.ERR_1,超声波加湿系统1档故障状态
DL_KZS5_CY_CSBJS7205/2.start_6,超声波水加湿6档运行设定
DL_KZS5_CY_CSBJS7205/2.start_5,超声波水加湿5档运行设定
DL_KZS5_CY_CSBJS7205/2.start_4,超声波水加湿4档运行设定
DL_KZS5_CY_CSBJS7205/2.start_3,超声波水加湿3档运行设定
DL_KZS5_CY_CSBJS7205/2.start_2,超声波水加湿2档运行设定
DL_KZS5_CY_CSBJS7205/2.start_1,超声波水加湿1档运行设定
DL_KZS5_CY_CSBJS7205/2.run_6,超声波水加湿6档运行反馈
DL_KZS5_CY_CSBJS7205/2.run_5,超声波水加湿5档运行反馈
DL_KZS5_CY_CSBJS7205/2.run_4,超声波水加湿4档运行反馈
DL_KZS5_CY_CSBJS7205/2.run_3,超声波水加湿3档运行反馈
DL_KZS5_CY_CSBJS7205/2.run_2,超声波水加湿2档运行反馈
DL_KZS5_CY_CSBJS7205/2.run_1,超声波水加湿1档运行反馈
DL_KZS5_CY_CSBJS7205/2.remo_stop,超声波水加湿远程关
DL_KZS5_CY_CSBJS7205/2.remo_start,超声波水加湿远程开
DL_KZS5_CY_CSBJS7205/2.stop_sys,超声波水加湿系统关
DL_KZS5_CY_CSBJS7205/2.open_sys,超声波水加湿系统开
DL_KZS5_CY_CSBJS7205/2.remote,超声波水加湿远程/就地
DL_KZS5_CY_L7205-S,消防连锁信号
DL_KZS5_CY_TAT7205-H5,测点5湿度
DL_KZS5_CY_TAT7205-T5,测点5温度
DL_KZS5_CY_TAT7205-H4,测点4湿度
DL_KZS5_CY_TAT7205-T4,测点4温度
DL_KZS5_CY_TAT7205-H3,测点3湿度
DL_KZS5_CY_TAT7205-T3,测点3温度
DL_KZS5_CY_TAT7205-H2,测点2湿度
DL_KZS5_CY_TAT7205-T2,测点2温度
DL_KZS5_CY_TAT7205-H1,测点1湿度
DL_KZS5_CY_TAT7205-T1,测点1温度
DL_KZS5_CY_TAT7205-T,测点1温度
DL_KZS5_CY_TAT7205-H,测点1湿度
DL_KZS5_CY_PdS7205-1_ALARM,送风机两侧压差报警
DL_KZS5_CY_PdS7205-1,送风机两侧压差
DL_KZS5_CY_PdS7205-3,初效过滤器堵塞
DL_KZS5_CY_TAT7205-7-H,回风湿度
DL_KZS5_CY_TAT7205-7-T,回风温度
DL_KZS5_CY_TAT7205-6-H,送风湿度
DL_KZS5_CY_TAT7205-6-T,送风温度
DL_KZS5_CY_VC7205-3_FB,新风阀开度反馈
DL_KZS5_CY_VC7205-3_SP,新风阀开度设定
DL_KZS5_CY_TAT7205-5-H,新风湿度
DL_KZS5_CY_TAT7205-5-T,新风温度
DL_KZS5_CY_VC7205-4_FB,混风阀开度反馈
DL_KZS5_CY_VC7205-4_SP,混风阀开度设定
DL_KZS5_CY_PT7205-1,表冷器进水压力
DL_KZS5_CY_TT7205-2,表冷器出水温度
DL_KZS5_CY_TT7205-1,表冷器进水温度 
DL_KZS5_CY_VC7205-5_FB,表冷阀门开度反馈
DL_KZS5_CY_VC7205-5_SP,表冷阀门开度设定
DL_KZS5_CY_PT7205,表冷器进水压力
DL_KZS5_CY_TT7205,蒸汽总管温度
DL_KZS5_CY_VC7205-1_FB,加热阀门开度反馈
DL_KZS5_CY_VC7205-1_SP,加热阀门开度设定
DL_KZS5_CY_VC7205-2_FB,加湿阀开度反馈
DL_KZS5_CY_VC7205-2_SP,加湿阀开度设定
DL_KZS5_CY_H_OUT,室外湿度
DL_KZS5_CY_T_OUT,室外温度
