关机时间,Avg_T,Avg_H,天气温度,天气湿度
2020-02-29 17:39:16,29.357638549804697,67.66782455444336,5.9,84
2020-03-07 21:37:16,29.334490966796874,71.05902862548828,6.6,98
2020-03-21 12:56:46,30.046298217773423,69.60069427490234,16.4,61
2020-03-28 19:06:46,29.5254638671875,68.00346984863285,6.3,45
2020-04-03 11:10:46,29.450230407714862,70.92013854980469,14.2,51
2020-04-18 18:00:46,30.329859161376962,67.40740814208985,13.2,67
2020-04-29 07:24:46,29.59490814208984,68.21759185791015,14.1,68
2020-05-09 19:24:33,29.832176208496083,70.58448944091795,14.8,82
2020-05-16 15:42:33,29.681713104248036,68.73263854980468,21.5,75
