,Avg_T,Avg_H,关机时间,Δt_close,天气预报时间_现在,天气温度,天气湿度
0,29.357638549804697,67.66782455444336,2020-02-29 17:39:16,1080,2020-02-29 18:00:00,5.9,84
1,29.334490966796874,71.05902862548828,2020-03-07 21:37:16,2520,2020-03-07 22:00:00,6.6,98
2,30.04629821777342,69.60069427490234,2020-03-21 12:56:46,2280,2020-03-21 13:00:00,16.4,61
3,29.5254638671875,68.00346984863285,2020-03-28 19:06:46,960,2020-03-28 19:00:00,6.3,45
4,29.450230407714862,70.92013854980468,2020-04-03 11:10:46,1800,2020-04-03 11:00:00,14.2,51
5,30.32985916137696,67.40740814208984,2020-04-18 18:00:46,960,2020-04-18 18:00:00,13.2,67
6,30.625000762939457,48.80787048339844,2020-04-25 20:34:46,0,2020-04-25 21:00:00,12.5,28
7,29.594908142089842,68.21759185791015,2020-04-29 07:24:46,1440,2020-04-29 07:00:00,14.1,68
8,29.832176208496083,70.58448944091796,2020-05-09 19:24:33,2880,2020-05-09 19:00:00,14.8,82
9,29.68171310424804,68.73263854980468,2020-05-16 15:42:33,2400,2020-05-16 16:00:00,21.5,75
10,28.489583587646486,59.4502311706543,2020-05-22 06:10:33,0,2020-05-22 06:00:00,16.3,100
